id,station,distance,space,room,year,type,value
1,Y,徒歩10分以内,70,3LDK,1983,-,910
2,Y,徒歩10分以内,70,2LDK,1983,D,1120
3,Y,徒歩10分以内,70,2LDK,1983,A,1190
4,Y,徒歩10分以内,70,4LDK,1983,A,1190
5,Y,徒歩10分以内,70,4LDK,1983,A,1190
6,Y,徒歩10分以内,70,3LDK,1983,A,1260
7,Y,徒歩10分以内,70,3LDK,1996,-,1610
8,Y,徒歩10分以内,70,4LDK,1983,D,1610
9,Y,徒歩10分以内,70,3LDK,1996,A+,1890
10,Y,徒歩10分以内,70,3LDK,1996,B+,1960
11,Y,徒歩15分以内,70,3LDK,1997,B+,1610
12,S,徒歩5分以内,70,3LDK,1971,-,770
13,S,徒歩5分以内,70,3DK,1971,A,840
14,S,徒歩5分以内,70,3LDK,1971,A+,980
15,S,徒歩10分以内,50,2LDK,1972,A+,750
16,S,徒歩10分以内,50,2DK,1971,-,900
17,S,徒歩15分超,50,2LDK,1972,A+,700
18,S,バス,70,3LDK,1980,A+,560
19,S,バス,50,3DK,1976,A+,500
20,S,バス,70,2LDK,1980,A+,700
21,S,バス,70,3LDK,1980,A+,700
22,S,バス,70,2LDK,1976,-,770
23,S,バス,90,4LDK,1981,A+,1080
24,S,バス,70,3LDK,1980,A+,1050
25,S,-,50,2LDK,1972,A+,700
26,T,徒歩5分以内,90,4LDK,2008,B,4770
27,T,徒歩5分以内,70,3LDK,2004,B,3780
28,T,徒歩5分以内,90,4LDK,2004,C,5310
29,T,徒歩5分以内,50,2LDK,2010,C,3050
30,T,徒歩5分以内,70,2LDK,2009,C,4690
31,T,徒歩5分以内,70,2SLDK,2013,D,4830
32,T,徒歩5分以内,70,3LDK,2012,C,5040
33,T,徒歩5分以内,90,3LDK,2013,D,6570
34,T,徒歩5分以内,50,1LDK,2011,D,3750
35,T,徒歩5分以内,70,2LDK,2013,D,5390
36,T,徒歩5分以内,70,3LDK,2013,-,5390
37,T,徒歩5分以内,70,3LDK,2015,-,5460
38,T,徒歩5分以内,90,3LDK,2011,C,7110
39,T,徒歩5分以内,70,3LDK,2011,C,5670
40,T,徒歩5分以内,50,3DK,1973,-,900
41,T,徒歩5分以内,50,3DK,1973,B,950
42,T,徒歩5分以内,50,1LDK,1973,B,1100
43,T,徒歩10分以内,70,3SLDK,2012,D,3780
44,T,徒歩10分以内,70,2LDK,2012,-,4270
45,T,徒歩10分以内,50,2LDK,2012,C,3150
46,T,徒歩10分以内,70,3LDK,1973,-,1400
47,T,徒歩10分以内,50,2SLDK,1972,A,1400
48,T,徒歩10分以内,50,2SLDK,1972,A,1400
49,T,徒歩10分以内,70,3LDK,1973,-,2240
50,T,徒歩10分以内,70,3LDK,2002,A+,3080
51,T,徒歩10分以内,90,4LDK,2002,A+,3960
52,T,徒歩10分以内,70,3LDK,2010,A+,4340
53,T,徒歩10分以内,70,3LDK,2010,A+,4410
54,T,徒歩10分以内,90,3LDK,2010,A+,5760
55,T,徒歩10分以内,90,4LDK,2013,A+,6210
56,T,徒歩10分以内,70,3LDK,2015,C,4620
57,T,徒歩10分以内,90,3LDK,1996,A,3780
58,T,徒歩10分以内,90,3SLDK,2000,A,4410
59,T,徒歩10分以内,70,2LDK,2015,-,5460
60,T,徒歩10分以内,70,3LDK,2004,B,3780
61,T,徒歩10分以内,70,3LDK,2008,C,4340
62,T,徒歩10分以内,90,4LDK,2005,A,4590
63,T,徒歩10分以内,90,4LDK,2005,A,4770
64,T,徒歩10分以内,70,3LDK,2008,A,3920
65,T,徒歩10分以内,70,3LDK,2008,A,3990
66,T,徒歩10分以内,90,4LDK,2005,A,5130
67,T,徒歩10分以内,70,3LDK,2006,B,3500
68,T,徒歩15分以内,70,2LDK,1973,-,1470
69,T,徒歩15分以内,50,2LDK,1974,E,1500
70,T,徒歩15分以内,70,3LDK,1973,-,2240
71,T,徒歩15分以内,70,2SLDK,2008,B+,3220
72,T,徒歩15分以内,90,4LDK,2008,B+,4320
73,T,徒歩15分以内,70,3LDK,1996,A-,2940
74,T,徒歩15分以内,90,3LDK,1973,A,1350
75,T,徒歩15分以内,70,3LDK,1973,A+,1330
76,T,徒歩15分以内,70,3LDK,1973,A,1330
77,T,徒歩15分以内,70,3LDK,1973,A,1680
78,T,徒歩15分以内,70,3LDK,2008,A,3780
79,T,徒歩15分以内,70,3LDK,1972,B+,1540
80,T,徒歩15分以内,70,2SLDK,1972,B+,1960
81,T,徒歩15分以内,70,3LDK,2011,A,3850
82,T,徒歩15分以内,70,3LDK,2011,A,4130
83,T,徒歩15分以内,70,3LDK,2011,A,4270
